age,ast_pct,blk_pct,bpm,drb_pct,fg3a_per_fga_pct,g,mp,orb_pct,playerID,playerName,pos,stl_pct,teamid,tov_pct,trb_pct,ts_pct,usg_pct,vorp,year
24,9.3,1.0,0.3,9.9,.426,82,2221,3.1,afflaar01,"Afflalo,Arron",SG,1.0,DEN,10.5,6.5,.576,14.0,1.3,2010
21,0.0,2.7,-10.4,11.8,.000,6,30,4.1,ajincal01,"Ajinca,Alexis",C,1.8,CHA,16.1,8.0,.479,19.3,-0.1,2010
24,9.9,1.3,1.6,18.6,.014,78,2922,8.1,aldrila01,"Aldridge,LaMarcus",PF,1.3,POR,7.4,13.3,.535,22.9,2.6,2010
23,9.3,2.6,-3.7,11.3,.167,8,29,7.8,alexajo01,"Alexander,Joe",SF,1.8,CHI,0.0,9.6,.273,11.3,0.0,2010
31,5.1,0.8,-5.0,11.5,.052,51,456,9.2,allenma01,"Allen,Malik",PF,1.2,DEN,15.3,10.4,.431,14.0,-0.3,2010
34,12.3,0.7,1.7,8.8,.410,80,2819,2.0,allenra02,"Allen,Ray",SG,1.2,BOS,10.6,5.5,.601,20.2,2.6,2010
28,13.0,1.7,0.8,12.5,.020,54,889,7.4,allento01,"Allen,Tony",SG,3.5,BOS,17.8,10.0,.540,19.6,0.6,2010
33,20.2,0.5,-3.7,9.7,.377,52,1421,1.0,alstora01,"Alston,Rafer",PG,1.9,TOT,16.5,5.3,.443,18.8,-0.6,2010
33,23.1,0.5,-5.0,10.4,.314,27,766,1.3,alstora01,"Alston,Rafer",PG,1.9,NJN,16.9,5.6,.436,21.7,-0.6,2010
33,16.7,0.6,-2.3,8.9,.479,25,655,0.7,alstora01,"Alston,Rafer",PG,1.9,MIA,15.8,4.8,.456,15.4,0.0,2010
27,3.7,4.4,0.4,19.9,.004,79,1168,13.1,amundlo01,"Amundson,Lou",PF,1.0,PHO,14.7,16.7,.562,14.6,0.7,2010
31,2.8,6.3,2.1,22.7,.012,76,1695,10.1,anderch01,"Andersen,Chris",PF,1.3,DEN,14.3,16.4,.631,10.8,1.8,2010
29,8.1,1.0,-3.8,20.6,.229,63,891,6.7,anderda03,"Andersen,David",C,0.9,HOU,9.1,13.4,.497,20.2,-0.4,2010
24,0.0,0.0,-11.4,0.0,.000,1,15,7.9,anderan02,"Anderson,Antonio",SF,0.0,OKC,25.0,3.8,.333,12.0,0.0,2010
21,7.1,1.1,1.3,16.2,.544,63,911,9.2,anderry01,"Anderson,Ryan",PF,1.4,ORL,11.7,12.8,.574,24.4,0.8,2010
25,15.9,0.9,1.4,13.1,.125,69,2634,6.7,anthoca01,"Anthony,Carmelo",SF,1.7,DEN,10.6,9.9,.548,33.4,2.3,2010
27,1.3,6.7,0.4,11.1,.000,80,1322,11.0,anthojo01,"Anthony,Joel",C,0.8,MIA,18.4,11.1,.546,8.7,0.8,2010
28,36.3,0.6,2.5,11.6,.294,32,1169,1.6,arenagi01,"Arenas,Gilbert",PG,1.8,WAS,14.2,6.5,.511,31.9,1.3,2010
24,16.7,1.1,1.3,14.7,.407,72,2629,3.3,arizatr01,"Ariza,Trevor",SF,2.4,HOU,12.8,8.8,.488,21.2,2.2,2010
