age,fg2,fg2_pct,fg2a,fg3,fg3_pct,fg3a,ft,fta,g,mp,playerID,playerName,teamid,tov,year
24,164,.488,336,108,.434,249,72,98,82,2221,afflaar01,"Afflalo,Arron",DEN,74,2010
21,5,.500,10,0,,0,0,1,6,30,ajincal01,"Ajinca,Alexis",CHA,2,2010
24,574,.498,1153,5,.313,16,230,304,78,2922,aldrila01,"Aldridge,LaMarcus",POR,104,2010
23,1,.200,5,0,.000,1,2,3,8,29,alexajo01,"Alexander,Joe",CHI,0,2010
31,45,.409,110,1,.167,6,12,13,51,456,allenma01,"Allen,Malik",DEN,22,2010
34,319,.556,574,145,.363,399,231,253,80,2819,allenra02,"Allen,Ray",BOS,129,2010
28,129,.520,248,0,.000,5,72,119,54,889,allento01,"Allen,Tony",BOS,66,2010
33,97,.349,278,58,.345,168,59,81,52,1421,alstora01,"Alston,Rafer",TOT,95,2010
33,67,.353,190,28,.322,87,44,54,27,766,alstora01,"Alston,Rafer",NJN,61,2010
33,30,.341,88,30,.370,81,15,27,25,655,alstora01,"Alston,Rafer",MIA,34,2010
27,152,.553,275,0,.000,1,67,123,79,1168,amundlo01,"Amundson,Lou",PHO,57,2010
31,142,.573,248,0,.000,3,164,236,76,1695,anderch01,"Andersen,Chris",DEN,59,2010
29,120,.458,262,27,.346,78,46,67,63,891,anderda03,"Andersen,David",HOU,37,2010
24,1,.333,3,0,,0,0,0,1,15,anderan02,"Anderson,Antonio",OKC,1,2010
21,91,.514,177,78,.370,211,71,82,63,911,anderry01,"Anderson,Ryan",ORL,56,2010
25,629,.478,1315,59,.316,187,508,612,69,2634,anthoca01,"Anthony,Carmelo",DEN,209,2010
27,76,.478,159,0,,0,66,92,80,1322,anthojo01,"Anthony,Joel",MIA,45,2010
28,190,.437,435,63,.348,181,153,207,32,1169,arenagi01,"Arenas,Gilbert",WAS,117,2010
24,258,.436,592,136,.334,407,148,228,72,2629,arizatr01,"Ariza,Trevor",HOU,161,2010
25,28,.359,78,0,.000,1,15,32,33,335,armsthi01,"Armstrong,Hilton",TOT,22,2010
25,19,.380,50,0,,0,13,28,18,239,armsthi01,"Armstrong,Hilton",NOH,13,2010
25,4,.333,12,0,,0,2,2,6,56,armsthi01,"Armstrong,Hilton",SAC,4,2010
25,5,.313,16,0,.000,1,0,2,9,40,armsthi01,"Armstrong,Hilton",HOU,5,2010
30,171,.489,350,7,.280,25,76,90,72,1585,arroyca01,"Arroyo,Carlos",MIA,54,2010
21,63,.434,145,0,.000,1,17,30,32,457,arthuda01,"Arthur,Darrell",MEM,22,2010
35,35,.417,84,22,.301,73,25,27,40,644,atkinch01,"Atkins,Chucky",DET,32,2010
22,98,.381,257,70,.393,178,102,131,80,1472,augusdj01,"Augustin,D.J.",CHA,74,2010
22,43,.662,65,0,,0,18,20,39,405,pendeje02,"Ayres,Jeff",POR,12,2010
26,38,.623,61,10,.370,27,19,28,9,231,azubuke01,"Azubuike,Kelenna",GSW,7,2010
25,6,.545,11,0,.000,7,2,6,13,91,balkmre01,"Balkman,Renaldo",DEN,6,2010
28,32,.653,49,7,.292,24,24,29,22,244,banksma01,"Banks,Marcus",TOR,20,2010
